Image_ID,cjs_Original_Rate,cyh_Original_Rate,hanhe_Original_Rate,hjr_Original_Rate,hyx_Original_Rate,lzy_Original_Rate,wts_Original_Rate,xq_Original_Rate,ydg_Original_Rate,yingzi_Original_Rate,zjf_Original_Rate
1,25,25,25,50,50,50,75,50,25,0,50
2,75,50,75,75,50,100,100,75,100,25,25
3,50,100,50,25,50,50,75,25,0,25,50
4,75,75,50,50,50,100,75,50,25,0,0
5,25,100,50,75,100,100,75,75,50,50,25
6,50,100,25,50,50,75,75,25,0,25,25
7,100,100,100,75,75,100,100,100,50,75,75
8,100,100,75,100,75,100,100,100,100,100,100
9,100,50,50,75,100,75,100,75,50,50,75
10,50,100,50,50,75,100,100,50,25,50,50
11,75,100,50,75,50,75,100,25,50,50,25
12,25,100,50,75,50,0,75,25,25,50,25
13,100,100,50,75,75,50,100,25,25,25,75
14,75,100,75,100,100,50,100,100,75,50,100
15,25,75,50,75,25,50,100,50,100,50,50
16,75,100,50,100,75,100,100,75,100,75,75
17,100,100,75,100,100,100,100,100,100,75,100
18,50,100,75,75,75,100,75,50,50,50,75
19,50,25,25,25,0,25,25,0,0,0,25
20,100,75,50,75,75,100,100,75,50,50,75
21,100,100,50,25,50,100,100,100,25,25,0
22,0,0,25,0,0,0,0,0,0,0,25
23,100,75,75,75,100,100,75,100,75,50,75
24,50,25,25,50,50,25,25,50,50,50,25
25,50,25,50,25,50,50,50,25,25,25,0
26,50,75,25,25,50,50,50,25,0,0,0
27,50,25,50,25,50,50,50,25,25,25,25
28,25,25,25,50,50,25,75,25,25,25,25
29,50,0,25,25,50,25,50,25,50,25,50
30,25,25,25,25,50,25,75,25,25,25,0
31,25,25,25,25,25,25,50,25,25,0,25
32,50,100,25,75,75,25,100,50,75,50,25
33,75,100,75,75,75,100,100,100,50,50,75
34,75,75,50,25,50,25,25,75,25,0,75
35,50,75,25,50,50,50,75,50,25,50,25
36,75,100,50,50,50,25,25,50,50,50,25
37,50,100,50,100,50,25,75,50,50,50,75
38,50,75,25,50,50,25,75,75,50,50,75
39,25,100,25,50,25,50,75,50,25,50,25
40,25,0,0,25,25,50,0,50,25,25,25
41,75,100,50,50,50,25,75,25,25,25,25
42,50,100,50,50,75,25,50,50,25,25,50
43,75,25,25,25,25,0,25,50,0,0,25
44,25,25,25,50,25,25,25,50,0,0,25
45,50,75,50,25,25,25,0,50,25,25,25
46,25,100,50,25,50,50,75,50,25,0,75
47,75,100,50,75,50,50,75,50,50,50,25
48,0,25,0,0,50,0,25,0,0,0,0
49,25,25,25,0,50,25,0,25,25,0,25
50,25,75,25,25,25,25,50,50,25,25,25
51,25,100,25,50,50,50,50,50,25,0,25
52,75,0,25,25,25,50,75,25,0,0,0
53,75,50,25,50,25,25,100,25,50,25,25
54,50,0,25,50,25,25,50,25,25,25,25
55,100,100,50,75,50,75,100,100,50,50,100
56,75,25,25,25,50,25,75,25,25,25,25
57,50,25,25,25,25,25,100,25,0,25,25
58,25,0,25,25,25,25,0,25,0,0,25
59,50,25,50,50,50,50,25,25,50,25,50
60,50,0,50,50,50,25,50,25,75,25,25
61,75,75,50,25,25,50,50,25,50,50,25
62,75,75,25,25,50,50,100,50,25,50,0
63,50,25,25,25,50,25,75,50,25,25,0
64,75,75,75,100,75,50,75,50,75,75,0
65,0,75,25,0,0,25,25,0,0,0,25
66,25,0,25,25,0,25,0,0,25,0,0
67,0,25,25,50,25,0,50,25,0,0,0
68,100,75,25,50,75,100,75,75,25,25,75
69,25,0,25,25,25,0,25,25,0,0,25
70,100,75,25,25,75,50,100,25,50,25,0
71,0,25,25,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0
